,County,Hispanic,White,Black,Native,Asian,Pacific,Poverty,ChildPoverty,Professional,Service,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,eff_score,minsPerVote
70,frio,77.2,17.3,4.466666666666667,0.0,0.4,0.0,23.0,32.1,17.333333333333332,28.73333333333333,0.13333333333333333,3.633333333333333,1.9,0.5,17.766666666666673,80.86666666666666,15.3,3.766666666666667,0.1,5.333333333333333,0.3764815245177783,22.588891471066695
71,gaines,46.76666666666667,50.0,1.8666666666666665,0.2333333333333333,0.5333333333333333,0.2,11.833333333333336,12.666666666666664,22.83333333333333,12.466666666666667,0.0,3.766666666666667,0.5,1.8666666666666665,16.166666666666668,75.43333333333334,14.0,10.6,0.0,4.5,0.09679587721263724,5.807752632758235
72,galveston,24.316666666666666,54.28030303030306,16.657575757575753,0.30454545454545456,2.787878787878788,0.009090909090909092,17.35151515151514,26.03939393939394,35.345454545454544,20.67727272727273,1.465151515151515,3.1742424242424248,3.4924242424242418,3.4530303030303022,25.21212121212121,74.24545454545455,19.09848484848485,6.468181818181818,0.19090909090909086,9.004545454545452,0.30706808564207344,18.424085138524408
73,garza,56.0,39.0,4.5,0.3,0.1,0.0,10.4,14.3,24.0,21.9,0.0,3.3,2.9,0.6,18.4,70.5,17.5,12.0,0.0,2.0,0.6460032626427407,38.76019575856444
74,gillespie,20.56,77.74,0.25999999999999995,0.02,0.14,0.0,10.919999999999998,17.419999999999998,35.120000000000005,20.4,0.48,2.76,2.4,4.5,20.42,73.56,11.38,14.7,0.4,6.38,0.7758620689655172,46.55172413793103
75,glasscock,34.1,65.9,0.0,0.0,0.0,0.0,3.4,0.0,44.1,5.0,0.0,2.6,1.2,9.3,21.0,68.5,17.0,14.4,0.0,2.5,0.9808429118773946,58.85057471264368
76,goliad,35.90000000000001,58.5,5.0,0.0,0.05,0.1,18.4,30.75,29.6,17.05,0.0,3.0,0.0,6.1,27.85,70.05,21.85,7.85,0.25,9.65,0.6771803154094623,40.63081892456774
77,gonzales,49.20000000000001,42.95,6.383333333333334,0.08333333333333333,0.1,0.0,20.933333333333334,28.816666666666666,21.91666666666667,17.933333333333334,2.1333333333333333,2.6,1.0333333333333332,4.166666666666667,21.05,77.88333333333334,13.299999999999995,8.4,0.45,6.366666666666667,0.5503685503685504,33.022113022113025
78,gray,30.985714285714288,61.542857142857144,4.085714285714286,0.7428571428571429,0.4,0.08571428571428573,15.114285714285714,18.37142857142857,21.428571428571427,16.614285714285714,0.0,1.1999999999999995,1.3714285714285714,0.7000000000000001,20.4,81.74285714285716,11.285714285714285,6.957142857142857,0.028571428571428574,6.142857142857142,0.1277515408628832,7.665092451772992
79,grayson,12.165384615384614,76.77692307692307,6.1692307692307695,1.311538461538461,1.0692307692307694,0.07692307692307694,16.876923076923074,22.157692307692308,29.753846153846172,19.380769230769232,0.3961538461538461,2.1499999999999995,1.4076923076923076,5.107692307692308,24.838461538461537,78.28076923076924,13.711538461538465,7.700000000000002,0.3038461538461539,8.338461538461537,0.4807887129055373,28.847322774332238
80,gregg,19.09583333333333,56.18333333333334,21.5625,0.3916666666666668,1.3375,0.225,19.33333333333333,26.91666666666667,25.79583333333333,18.470833333333328,0.5916666666666667,1.8791666666666664,1.5166666666666668,2.0791666666666666,19.695833333333336,85.60416666666664,9.275,5.045833333333333,0.1,6.5166666666666675,0.2741323824920301,16.447942949521806
81,grimes,21.283333333333328,60.46666666666667,15.966666666666667,0.3333333333333333,0.13333333333333333,0.0,22.566666666666666,27.816666666666666,21.88333333333333,19.55,0.0,3.8666666666666667,1.0833333333333333,2.433333333333333,29.6,73.51666666666667,18.633333333333333,7.783333333333334,0.06666666666666668,5.7333333333333325,70.9695,4258.17
82,guadalupe,36.39999999999999,52.89310344827586,6.389655172413794,0.2344827586206897,1.7379310344827583,0.006896551724137932,9.903448275862068,13.348275862068968,33.68275862068965,16.52068965517241,0.2448275862068965,0.7793103448275861,1.0310344827586206,3.7413793103448274,25.013793103448283,76.9655172413793,17.713793103448282,5.027586206896551,0.2793103448275862,5.56896551724138,0.5892619076475579,35.35571445885348
83,hale,57.711111111111094,36.00000000000001,4.355555555555555,0.06666666666666668,0.4111111111111112,0.0,22.777777777777782,33.73333333333333,23.511111111111113,21.33333333333333,0.4111111111111112,1.2333333333333334,1.3333333333333333,3.8222222222222215,16.466666666666665,76.28888888888888,16.133333333333336,7.4222222222222225,0.17777777777777778,7.900000000000001,0.4372770972243759,26.236625833462554
84,hall,34.1,57.7,7.1,0.0,0.3,0.0,26.9,39.9,20.6,23.9,0.2,3.3,2.5,1.4,16.0,70.9,15.0,10.1,4.0,11.5,0.19306184012066369,11.58371040723982
85,hamilton,11.2,86.5,0.9666666666666668,0.43333333333333335,0.2,0.03333333333333333,14.2,16.833333333333332,29.1,20.8,0.0,5.5,0.4666666666666667,3.766666666666667,21.8,72.13333333333334,18.33333333333333,7.833333333333332,1.6666666666666667,5.3,0.655012486621477,39.300749197288624
86,hansford,45.35,53.5,0.1,0.2,0.45,0.0,16.25,24.3,29.700000000000006,13.05,0.0,1.55,3.05,2.6,14.7,71.19999999999997,18.200000000000006,10.45,0.15,2.1,1.3289386947923534,79.7363216875412
87,harris,41.43727735368954,31.896437659033055,18.843256997455466,0.1834605597964376,6.1562340966921125,0.05547073791348599,19.01441326530612,26.681609195402288,32.91984732824431,18.160305343511453,3.3055979643765907,1.7300254452926225,2.108778625954195,3.34732824427481,27.4816560509554,83.47124681933839,9.802544529262093,6.582824427480911,0.14249363867684475,7.990330788804068,19.168278016233906,1150.0966809740344
88,harrison,13.564285714285711,61.90714285714285,22.57857142857143,0.24285714285714285,0.4999999999999999,0.0,18.092857142857145,26.014285714285727,31.000000000000004,15.95,0.1,0.8142857142857144,1.6285714285714286,3.414285714285714,21.042857142857144,80.92857142857143,13.485714285714286,5.471428571428571,0.10714285714285714,7.678571428571429,1.0183867558999649,61.10320535399789
89,hartley,25.6,63.6,8.4,0.0,0.1,0.0,6.4,9.3,38.6,15.4,0.0,2.7,1.2,5.4,12.7,72.1,15.1,12.4,0.4,2.1,0.27149321266968324,16.289592760180994
90,hays,33.59200000000001,60.08000000000001,3.032,0.25199999999999995,1.3199999999999996,0.06,19.452,21.264,37.368,18.284,0.944,2.4680000000000004,2.116,6.464,29.18,73.81199999999998,18.704,7.2600000000000025,0.228,6.691999999999998,0.5856930307252675,35.14158184351605
91,hemphill,33.0,64.0,1.0,0.4,0.3,0.0,12.3,22.2,28.9,16.6,0.0,2.4,0.7,3.8,17.6,71.1,16.4,12.5,0.0,3.7,0.7438468550592525,44.63081130355515
92,henderson,10.511764705882351,80.67058823529409,6.347058823529411,0.7941176470588234,0.511764705882353,0.1176470588235294,19.21764705882353,29.094117647058827,26.876470588235296,19.54117647058823,0.1176470588235294,1.3176470588235296,0.6705882352941177,3.8411764705882345,29.04705882352941,74.41764705882353,14.74705882352941,10.758823529411764,0.06470588235294117,7.952941176470588,0.796872237175583,47.81233423053498
93,hidalgo,90.66696428571429,7.658035714285713,0.4723214285714285,0.0580357142857143,0.926785714285714,0.0125,34.265178571428564,45.87499999999999,24.74642857142857,24.516964285714288,0.26875000000000004,1.3169642857142858,4.592857142857143,4.758928571428573,21.933035714285715,70.93124999999998,16.788392857142867,12.09375,0.19017857142857145,10.09375,0.8685446009389671,52.112676056338024
94,hill,22.536363636363635,67.90909090909089,8.09090909090909,0.2909090909090909,0.4636363636363636,0.0,22.62727272727273,34.07272727272728,23.25454545454545,19.690909090909084,0.12727272727272726,1.4363636363636365,1.7999999999999998,3.954545454545455,26.709090909090904,77.68181818181817,14.70909090909091,7.227272727272727,0.3545454545454545,8.318181818181818,1.1491653204092622,68.94991922455573
95,hockley,43.92857142857143,50.742857142857154,3.0571428571428574,0.4142857142857143,0.2857142857142857,0.014285714285714287,14.328571428571427,17.157142857142855,27.785714285714285,17.585714285714285,0.08571428571428573,2.4,0.6571428571428571,2.5857142857142854,21.228571428571428,75.62857142857142,16.12857142857143,7.914285714285714,0.32857142857142857,6.914285714285714,0.4824031806803122,28.94419084081873
96,hood,11.07,85.82999999999998,0.96,0.7799999999999999,0.4799999999999999,0.0,11.91,17.4,34.3,15.779999999999998,0.1,1.59,0.8400000000000001,5.83,31.98,78.41999999999999,10.69,10.38,0.51,5.13,0.25699130911173645,15.419478546704187
97,houston,10.0,61.74285714285713,26.08571428571429,0.15714285714285714,0.11428571428571427,0.0,24.500000000000004,37.60000000000001,24.42857142857143,21.842857142857145,0.07142857142857142,1.6428571428571426,1.0857142857142856,5.885714285714287,25.942857142857147,67.52857142857142,23.02857142857143,8.942857142857145,0.4857142857142857,6.914285714285716,1.3090909090909093,78.54545454545456
98,howard,38.73,53.66,4.58,0.6,0.8200000000000001,0.33,16.6,22.26,26.69,22.52,0.23,1.86,0.8700000000000001,1.89,17.78,72.0,22.94,4.99,0.08,6.5,0.09802876931273308,5.881726158763985
99,hudspeth,78.4,19.3,1.1,0.0,0.8,0.0,40.3,63.8,24.0,30.4,0.0,1.5,4.0,10.6,22.9,57.6,33.0,9.3,0.1,5.7,0.646551724137931,38.793103448275865
100,hutchinson,25.97142857142857,67.62857142857143,2.885714285714286,1.0142857142857145,0.5285714285714286,0.05714285714285715,19.81428571428572,26.4,22.657142857142855,17.62857142857143,0.32857142857142857,1.9,0.9285714285714286,2.3285714285714287,17.985714285714284,81.47142857142856,12.142857142857144,6.1571428571428575,0.2428571428571429,4.857142857142857,0.270042194092827,16.202531645569618
101,irion,25.1,71.7,0.0,0.0,0.0,0.0,11.6,19.9,36.8,12.3,0.4,4.4,1.1,13.8,22.9,57.9,21.1,18.5,2.5,4.4,0.1004566210045662,6.027397260273972
102,jack,15.866666666666665,78.26666666666667,5.133333333333334,0.3,0.03333333333333333,0.0,16.566666666666666,29.0,24.3,14.266666666666666,0.0,1.7666666666666666,0.9666666666666668,4.433333333333334,28.23333333333333,74.5,15.133333333333333,9.4,0.9666666666666668,5.633333333333333,0.132309509746013,7.93857058476078
103,jackson,31.2,59.36666666666667,8.066666666666666,0.0,0.2333333333333333,0.06666666666666668,12.733333333333334,15.966666666666667,26.266666666666666,15.2,1.0,0.9666666666666668,0.3,6.333333333333332,24.66666666666667,75.66666666666667,13.5,9.7,1.1666666666666667,5.3,0.2547670532730489,15.286023196382933
104,jefferson,19.041666666666664,38.02916666666668,37.362500000000026,0.1986111111111111,3.8541666666666665,0.03888888888888889,21.904347826086955,29.563768115942022,25.54347826086957,21.27246376811595,0.9347826086956522,1.2594202898550724,1.5376811594202895,1.3666666666666665,19.721739130434784,82.431884057971,13.28695652173913,4.197101449275363,0.08260869565217391,10.091304347826087,0.7090338669455394,42.542032016732364
105,johnson,20.26428571428572,73.79285714285716,2.650000000000001,0.4678571428571429,0.7142857142857144,0.4678571428571429,12.974999999999996,18.396428571428565,30.164285714285718,14.907142857142858,0.22857142857142854,1.2464285714285717,1.182142857142857,4.0178571428571415,29.689285714285713,81.11785714285716,13.085714285714285,5.610714285714286,0.18214285714285716,7.4678571428571425,0.5491719863077066,32.950319178462394
106,jones,24.216666666666665,64.66666666666667,8.833333333333334,0.4000000000000001,0.13333333333333333,0.0,18.76,25.360000000000007,29.04,19.7,0.0,1.48,1.6,2.9,21.42,68.49999999999999,21.06,9.92,0.4800000000000001,3.96,0.4014636696288552,24.087820177731313
107,karnes,49.35,45.15,5.05,0.05,0.15,0.0,22.125,36.27500000000001,28.475,17.775,0.25,1.925,1.175,2.575,25.5,68.22500000000001,23.15,8.075,0.5750000000000001,6.125,0.8950563746747615,53.70338248048569
108,kaufman,21.03333333333334,65.64444444444446,9.822222222222221,0.4222222222222222,0.7555555555555555,0.2388888888888889,15.883333333333335,21.844444444444452,30.922222222222214,16.76111111111111,0.6555555555555556,0.7055555555555556,1.2166666666666668,2.9166666666666665,32.29444444444445,77.81111111111113,16.083333333333332,6.044444444444445,0.05555555555555555,9.08888888888889,0.5960863845647885,35.76518307388731
109,kendall,22.05,75.15,0.6666666666666666,0.03333333333333333,0.65,0.03333333333333333,7.7333333333333325,12.666666666666664,45.53333333333333,16.733333333333334,0.2333333333333333,2.15,1.3166666666666669,7.75,29.26666666666667,74.06666666666666,15.216666666666667,10.716666666666667,0.0,4.583333333333333,0.21517353800176595,12.910412280105957
110,kenedy,66.2,33.6,0.0,0.0,0.2,0.0,26.7,39.3,24.9,34.1,0.0,5.4,0.0,0.0,16.6,51.9,48.1,0.0,0.0,0.0,2.7781350482315115,166.6881028938907
111,kent,17.9,81.5,0.2,0.4,0.0,0.0,9.6,24.8,39.7,16.3,0.0,13.5,1.8,3.6,9.7,49.7,38.9,10.1,1.3,1.5,1.9558573853989811,117.35144312393886
112,kerr,26.04,70.08000000000001,1.3299999999999998,0.26,1.0,0.05,15.48,20.83,31.85,22.47,0.06,1.29,1.01,5.45,20.39,72.98999999999998,16.21,10.7,0.08,8.15,0.9540571706014443,57.24343023608666
113,kimble,24.450000000000006,74.69999999999997,0.0,0.25,0.0,0.0,21.1,25.75,29.7,16.5,0.0,1.6,2.45,3.1,17.9,68.1,18.05,13.25,0.65,7.6,0.3327556325823224,19.965337954939343
114,king,24.7,75.3,0.0,0.0,0.0,0.0,7.1,10.5,34.3,10.2,0.0,7.8,0.0,3.6,11.6,72.9,21.1,6.0,0.0,5.1,2.1818181818181817,130.9090909090909
115,kleberg,71.82000000000002,21.98,3.54,0.08,1.92,0.0,26.1,32.14,29.76,23.82,0.0,6.200000000000001,1.8400000000000003,2.02,18.1,70.74000000000002,24.64,4.4,0.22000000000000006,11.459999999999996,0.7627845595513032,45.76707357307819
116,knox,32.75,60.45,6.5,0.1,0.1,0.0,16.2,24.7,27.45,16.799999999999994,0.0,2.55,2.2,1.6,17.45,67.05000000000001,25.3,6.9,0.75,6.6,0.13284132841328414,7.970479704797048
117,lamar,6.7333333333333325,72.80833333333331,14.941666666666668,0.3999999999999999,0.7916666666666666,0.2,21.108333333333327,31.25,25.29166666666666,20.250000000000004,0.016666666666666666,2.083333333333333,2.983333333333334,3.041666666666666,18.258333333333333,80.48333333333333,13.0,6.3,0.2333333333333333,8.116666666666669,1.1006946786268297,66.04168071760978
118,lamb,53.67999999999999,41.74,3.64,0.24000000000000005,0.16,0.0,22.38,33.6,30.76,14.64,0.0,3.56,2.28,4.08,15.46,74.55999999999997,15.06,10.26,0.1,5.700000000000001,0.3213020081375509,19.27812048825305
119,lampasas,19.58,73.5,3.38,0.16,0.96,0.06,15.920000000000002,24.12,31.040000000000006,20.92,0.15999999999999998,2.98,3.08,2.8600000000000003,27.360000000000007,66.18,26.22,7.58,0.0,8.559999999999999,0.11498332032081765,6.898999219249059
120,lavaca,18.666666666666668,73.55,6.8,0.016666666666666666,0.35000000000000003,0.0,9.15,10.733333333333333,31.91666666666666,14.633333333333335,0.4,1.7833333333333332,0.9166666666666666,4.416666666666667,25.75,73.73333333333333,14.250000000000002,11.966666666666667,0.06666666666666668,3.9,1.1534279673814558,69.20567804288734
121,lee,20.9,66.325,11.3,0.0,0.55,0.0,13.4,16.175,25.075000000000006,22.2,0.1,2.3,0.925,3.5,25.575000000000006,74.475,16.425,8.6,0.475,4.725,0.35817468669281544,21.490481201568926
122,leon,12.533333333333333,78.43333333333334,7.2666666666666675,0.3333333333333333,0.4,0.0,13.933333333333332,23.866666666666664,31.26666666666667,13.8,0.13333333333333333,3.266666666666667,1.366666666666667,5.366666666666667,27.2,69.66666666666667,13.633333333333333,16.400000000000002,0.3666666666666667,7.633333333333333,1.225280143433438,73.51680860600628
123,limestone,21.525,58.21249999999999,18.5625,0.2375,0.575,0.05,23.1625,39.625,27.8125,23.65,0.025,1.7625000000000002,1.0375,3.85,20.7125,62.0625,27.6,10.3,0.025,7.3,1.38236884802596,82.9421308815576
124,lipscomb,26.75,69.35,0.25,0.95,0.7,0.0,9.15,10.6,32.7,9.95,0.25,2.15,4.8,1.95,20.65,71.6,15.5,12.45,0.5,5.050000000000002,0.3857358111501758,23.144148669010548
125,llano,7.95,89.89999999999998,1.5333333333333332,0.1,0.13333333333333333,0.0,13.266666666666667,18.25,33.96666666666666,18.616666666666667,0.0,3.5,1.6666666666666667,12.2,24.616666666666664,71.58333333333334,12.2,15.966666666666667,0.2333333333333333,5.766666666666667,0.2881097560975609,17.286585365853654
126,lubbock,33.39253731343284,55.73432835820896,6.986567164179103,0.2731343283582089,1.870149253731344,0.037313432835820885,21.337313432835828,26.93134328358209,33.505970149253734,21.143283582089555,0.946268656716418,2.4104477611940305,1.6641791044776124,2.9761194029850753,16.616417910447765,76.59999999999998,16.646268656716426,6.5343283582089535,0.23432835820895526,6.628358208955223,0.5674330894715318,34.04598536829191
127,lynn,47.96666666666666,49.16666666666666,0.9333333333333332,1.2333333333333334,0.3,0.06666666666666668,19.566666666666666,31.66666666666667,29.33333333333333,16.133333333333336,0.16666666666666666,3.5,0.0,5.1,20.733333333333327,65.66666666666667,21.266666666666666,13.1,0.0,10.433333333333332,0.7394094993581515,44.36456996148909
128,madison,17.525,67.0,13.15,0.15000000000000002,0.175,0.1,16.275,23.575000000000006,28.450000000000006,19.725,0.0,6.525,1.775,3.125,24.8,64.975,21.95,12.175,0.875,4.825,0.19726027397260276,11.835616438356166
129,marion,3.95,70.2,23.75,0.225,1.45,0.0,22.1,35.2,26.775,21.925,0.35,3.725,1.7999999999999998,5.6000000000000005,28.875,78.5,15.3,6.025,0.125,7.875,0.6480199390750485,38.88119634450291
130,martin,39.35,57.95,1.65,0.4,0.0,0.35,12.15,14.6,26.85,18.200000000000006,0.0,3.75,1.4,4.9,17.700000000000006,75.0,12.6,12.4,0.0,2.7,0.4648017214878574,27.888103289271445
131,mason,24.85,71.4,0.05,0.55,3.15,0.0,14.5,21.15,23.700000000000006,22.15,0.0,3.95,1.65,5.5,20.55,66.4,11.65,21.450000000000006,0.55,6.8500000000000005,0.16238159675236807,9.742895805142084
132,matagorda,36.15999999999999,48.28,11.79,0.47,1.54,0.18,20.36,31.87,23.779999999999994,18.83,0.52,2.73,0.78,2.01,22.97,77.22999999999998,15.13,7.639999999999999,0.0,6.06,0.9871664666235804,59.229987997414824
133,maverick,95.15555555555555,3.3777777777777778,0.1111111111111111,0.7444444444444444,0.4666666666666667,0.011111111111111113,27.45555555555556,37.42222222222222,20.25555555555556,27.93333333333333,0.5666666666666668,2.766666666666667,2.3666666666666667,1.1777777777777776,20.94444444444445,71.46666666666667,22.577777777777783,5.922222222222223,0.05555555555555555,13.344444444444445,0.36814159292035403,22.08849557522124
134,mcculloch,27.133333333333336,69.33333333333333,0.8666666666666667,0.1,0.0,0.0,14.533333333333333,19.83333333333333,29.6,19.5,0.0,3.566666666666667,0.06666666666666668,3.233333333333333,17.933333333333334,68.39999999999999,17.733333333333334,13.233333333333334,0.6666666666666666,5.266666666666667,0.5341812400635929,32.05087440381558
135,mclennan,25.541999999999994,56.04600000000001,15.262000000000002,0.15200000000000002,1.372,0.014000000000000002,23.63673469387755,30.06122448979593,29.95600000000001,19.768,0.52,2.7540000000000004,0.8859999999999999,3.124,18.422,80.916,13.55,5.412000000000001,0.11800000000000001,6.942000000000002,0.5683798477709315,34.102790866255894
136,mcmullen,48.1,50.4,0.0,1.5,0.0,0.0,11.8,11.3,25.9,22.2,6.4,4.4,2.7,4.4,11.8,60.5,25.6,12.7,1.2,14.1,0.8384279475982532,50.30567685589519
137,medina,49.7,47.0125,1.6124999999999998,0.4125,0.2375,0.0375,15.4,20.825,30.7875,20.15,0.1375,1.8375,0.8999999999999999,3.075,29.0,71.325,19.25,9.2875,0.1375,6.2625,0.09330963564808938,5.598578138885363
138,menard,36.8,58.8,1.2,0.5,0.0,0.0,14.9,21.2,28.6,23.7,0.0,3.5,0.3,5.1,17.5,52.9,24.6,21.0,1.5,8.3,0.325678496868476,19.54070981210856
139,midland,42.02307692307693,48.6576923076923,6.003846153846156,0.3384615384615384,1.5230769230769234,0.09230769230769233,9.403846153846152,11.476923076923075,30.9,14.838461538461539,0.2807692307692307,1.1076923076923078,1.696153846153846,2.226923076923077,18.984615384615385,81.20769230769231,11.288461538461537,7.261538461538461,0.2307692307692308,3.765384615384616,0.2808909065115619,16.853454390693713
