,County,CensusTract,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Voters,Workers,Locations,Hours,eff_score
0,anderson,48001950673.27273,17.818181818181817,58.945454545454545,21.21818181818182,0.4090909090909091,0.6545454545454545,0.009090909090909092,4010.090909090909,44392.09090909091,15917.363636363636,18081.727272727272,3020.818181818182,20.990909090909085,24.50909090909091,23.736363636363638,26.4,21.972727272727273,12.754545454545456,15.172727272727274,83.62727272727273,9.60909090909091,0.24545454545454548,2.4,0.6000000000000001,3.5454545454545463,19.254545454545454,1805.3636363636363,67.31818181818181,26.590909090909097,6.009090909090909,0.09090909090909091,5.509090909090909,27030,77,22,12,0.7520532741398446
1,andrews,48003950250.0,49.45,46.5,1.275,0.22499999999999998,0.725,0.0,2551.75,71015.0,13556.25,31550.0,6038.0,10.8,14.725,22.925,14.15,21.65,23.525,17.75,78.475,17.675,0.0,0.1,1.075,2.65,20.2,1980.75,81.9,9.774999999999999,7.65,0.675,3.575,9574,12,1,12,0.015040735324838104
2,angelina,48005000671.29412,20.641176470588235,61.39411764705883,15.329411764705883,0.18235294117647058,1.1882352941176473,0.0,3519.6470588235293,43349.41176470588,7595.941176470588,21679.823529411766,3677.470588235294,19.658823529411762,29.56470588235294,26.317647058823535,21.082352941176474,22.482352941176472,13.458823529411763,16.65294117647059,82.5764705882353,12.705882352941176,0.1411764705882353,1.447058823529412,1.641176470588235,1.4823529411764707,18.423529411764704,2128.3529411764707,76.32941176470588,17.723529411764705,5.917647058823531,0.058823529411764705,9.33529411764706,51641,112,27,12,0.7026974690652776
3,aransas,48007956916.666664,23.919999999999998,71.17999999999999,1.34,0.1,1.3599999999999999,0.0,3148.5,49725.4,9247.8,33022.0,6141.6,17.5,33.42,32.74,17.860000000000003,22.580000000000002,17.0,9.78,79.0,10.62,0.0,2.6399999999999997,1.48,6.22,24.54,1577.3333333333333,73.14,12.459999999999999,14.1,0.3,5.84,17333,15,3,12,0.031154445277793805
4,archer,48009020200.0,7.733333333333333,89.26666666666667,0.5333333333333333,1.2666666666666666,0.4666666666666666,0.0,2204.0,60725.0,9375.666666666666,29857.333333333332,4289.333333333333,9.766666666666667,10.6,33.766666666666666,13.800000000000002,21.866666666666664,15.766666666666666,14.799999999999999,86.46666666666668,7.400000000000001,0.0,0.7999999999999999,0.7000000000000001,4.666666666666667,21.666666666666668,1413.0,76.53333333333333,13.866666666666667,9.433333333333332,0.16666666666666666,2.9666666666666663,6320,29,8,12,0.44050632911392407
5,armstrong,48011950100.0,11.8,84.5,0.6,1.6,0.0,0.2,1534.0,59737.0,4968.0,28669.0,2241.0,6.9,4.3,39.2,12.1,20.1,20.9,7.8,74.4,14.7,0.0,1.8,1.6,7.5,25.3,954.0,65.6,24.4,9.5,0.4,1.1,1428,21,6,12,1.0588235294117647
6,atascosa,48013960338.25,66.13749999999999,31.9125,0.6125,0.075,0.23750000000000002,0.0,4034.0,49182.625,8320.625,21413.625,3430.75,18.125,26.749999999999996,22.7625,21.725,21.212500000000002,19.9625,14.350000000000001,76.6625,16.1,0.05,1.5874999999999997,0.625,4.9625,29.799999999999997,2496.875,77.275,15.149999999999999,7.45,0.1375,7.6,26434,98,21,12,0.9342513429673904
7,austin,48015760333.833336,23.850000000000005,64.63333333333334,9.1,0.016666666666666666,0.0,0.0,3341.1666666666665,53465.0,12924.833333333334,27446.666666666668,3842.0,11.583333333333334,19.46666666666667,31.183333333333326,15.683333333333332,20.966666666666665,14.399999999999999,17.766666666666666,80.71666666666665,11.566666666666668,0.06666666666666667,1.0666666666666667,1.4666666666666668,5.083333333333333,29.083333333333332,2247.1666666666665,80.58333333333333,11.116666666666665,8.183333333333334,0.13333333333333333,5.816666666666666,18907,63,18,12,0.7197334320621992
8,bailey,48017950100.0,60.1,37.5,1.9,0.1,0.4,0.1,3936.0,37397.0,8652.0,17007.0,2385.0,19.0,25.8,23.2,22.4,20.6,20.7,13.2,77.3,6.5,0.0,3.3,7.7,5.3,19.6,3191.0,75.3,19.1,5.6,0.0,4.3,3242,8,1,12,0.02961135101789019
9,bandera,48019000220.6,16.36,80.16,2.04,0.12,0.24,0.0,3329.6,49529.0,10306.8,26714.6,4018.4,13.879999999999999,24.54,36.04,17.94,21.48,17.02,7.540000000000001,80.42,10.260000000000002,0.4,2.88,0.4,5.619999999999999,35.2,1802.0,66.64,19.580000000000002,13.559999999999999,0.22000000000000003,4.74,15333,32,10,12,0.2504402269614557
10,bastrop,48021950490.6,34.269999999999996,56.089999999999996,7.26,0.36,0.6699999999999999,0.0,5101.1,53902.4,9166.2,24569.3,4016.7,14.709999999999999,20.279999999999998,30.309999999999995,15.720000000000002,24.169999999999998,16.990000000000002,12.86,79.60000000000001,14.079999999999998,0.29,1.47,0.96,3.6100000000000003,33.209999999999994,3234.3,71.66,19.85,8.190000000000001,0.27999999999999997,9.53,47519,105,21,12,0.5568298996190997
11,baylor,48023950300.0,8.9,86.4,1.9,0.0,0.0,0.0,2836.0,36373.0,7151.0,32907.0,9699.0,11.9,2.2,37.6,12.0,21.9,21.7,6.8,91.3,5.6,0.0,0.5,1.2,1.4,13.0,1486.0,62.0,16.6,21.5,0.0,1.4,2330,8,4,12,0.1648068669527897
12,bee,48025950329.0,55.871428571428574,37.885714285714286,5.57142857142857,0.35714285714285715,0.12857142857142856,0.0,3552.714285714286,47179.28571428572,10901.714285714286,19253.0,3332.714285714286,18.814285714285713,28.571428571428577,20.142857142857142,24.800000000000004,20.85714285714286,16.185714285714283,18.02857142857143,80.51428571428572,13.342857142857143,0.028571428571428574,2.471428571428571,1.3571428571428572,2.3000000000000003,26.12857142857143,1493.0,68.89999999999999,22.542857142857144,8.12857142857143,0.4142857142857143,7.128571428571427,15883,39,10,12,0.2946546622174652
13,bell,48027066191.10769,24.063492063492063,48.54920634920635,20.35714285714286,0.5142857142857143,2.452380952380952,0.6714285714285714,3422.0307692307692,48094.66129032258,7614.967741935484,22410.126984126986,3211.7936507936506,17.688709677419357,25.529032258064507,29.028571428571432,21.15873015873016,26.990476190476183,10.384126984126983,12.438095238095233,79.78730158730157,12.434920634920637,0.30476190476190473,2.5253968253968258,1.8063492063492061,3.1444444444444457,19.511111111111113,1962.3076923076924,69.98412698412697,24.942857142857147,4.936507936507938,0.14285714285714285,10.141269841269839,195604,347,46,12,0.9792437782458436
14,bexar,48029172817.2541,59.977197802197786,28.737362637362647,6.889010989010988,0.25906593406593414,2.3749999999999996,0.0346153846153846,3312.5464480874316,54659.01933701657,8982.104972375691,24734.95054945055,3534.8956043956046,18.474725274725273,25.612947658402195,32.374175824175815,20.71675824175823,26.104945054945073,10.237912087912097,10.571428571428571,78.30714285714286,11.38351648351649,3.3956043956043938,1.944230769230768,1.278021978021978,3.6917582417582424,24.388950276243108,2251.7021857923496,79.54752747252748,14.664560439560441,5.689835164835167,0.09807692307692309,7.909890109890108,1108798,1260,302,12,4.1181892463731
15,blanco,48031950150.0,18.7,78.30000000000001,0.05,0.7,0.45,0.0,4056.0,53787.0,9276.0,29405.0,3543.5,8.95,14.05,37.05,20.45,19.049999999999997,15.6,7.85,76.35,14.0,0.0,3.05,0.95,5.6,25.9,2335.0,69.75,17.75,12.25,0.25,6.050000000000001,8177,29,6,12,0.2553503729974318
16,borden,48033950100.0,8.8,87.9,0.0,3.0,0.0,0.0,490.0,73750.0,8208.0,44591.0,15266.0,1.4,0.0,52.8,11.7,14.2,14.2,7.1,78.6,10.4,0.0,0.7,0.7,9.6,24.9,282.0,45.7,36.2,17.0,1.1,0.7,488,21,7,12,3.6147540983606556
17,bosque,48035950400.0,16.014285714285716,80.28571428571429,1.4714285714285715,0.34285714285714286,0.38571428571428573,0.0,1886.7142857142858,45418.857142857145,6760.285714285715,24415.571428571428,3965.8571428571427,14.757142857142856,21.957142857142856,27.957142857142856,18.585714285714285,21.571428571428573,15.571428571428571,16.357142857142858,78.47142857142858,13.12857142857143,0.1285714285714286,2.928571428571428,0.7714285714285714,4.614285714285714,29.685714285714287,1023.5714285714286,75.4857142857143,12.514285714285714,11.72857142857143,0.2571428571428572,8.128571428571428,12209,34,3114,12,104.06355966909656
18,bowie,48037011033.833336,6.7,61.98888888888889,27.62777777777778,0.7111111111111111,0.7499999999999999,0.06666666666666667,3827.4444444444443,41806.0,6436.444444444444,21528.944444444445,3354.9444444444443,21.372222222222224,30.716666666666665,27.161111111111108,22.805555555555557,23.90555555555556,11.722222222222221,14.416666666666666,83.5611111111111,9.933333333333332,0.8333333333333333,1.1,2.1944444444444446,2.3833333333333333,18.26111111111111,1997.7222222222222,75.67222222222222,19.27777777777778,4.905555555555555,0.1277777777777778,9.177777777777779,59606,142,32,12,0.9148072341710566
19,brazoria,48039668602.27451,30.522000000000002,55.17799999999999,9.53,0.28800000000000003,3.036,0.004,4353.588235294118,64157.84,9773.12,27993.46,3567.52,12.81,16.601999999999997,33.556000000000004,15.952,21.984,13.503999999999998,15.004000000000001,85.868,8.626,0.18200000000000002,1.06,1.5280000000000005,2.7400000000000007,27.258000000000003,3025.294117647059,80.30999999999999,13.789999999999997,5.781999999999999,0.11199999999999999,6.068,205435,124,26,12,0.1883223403996398
20,brazos,48041024622.78571,23.736585365853664,58.01219512195122,10.141463414634147,0.21463414634146338,6.234146341463415,0.041463414634146344,3424.9523809523807,46399.325,9565.15,23343.51219512195,3690.6585365853657,28.0525,26.3225,40.04878048780487,17.921951219512195,24.24634146341463,9.109756097560979,8.670731707317072,75.79024390243903,11.890243902439023,2.5219512195121947,4.151219512195122,2.71219512195122,2.9341463414634146,17.77073170731707,2340.3333333333335,68.04146341463415,25.795121951219514,5.943902439024392,0.23170731707317074,6.54390243902439,114391,167,25,12,0.43797151873836226
21,briscoe,48045950200.0,32.6,60.4,3.8,0.1,0.0,0.3,1111.0,38603.0,7119.0,22323.0,2637.0,18.6,27.4,33.7,16.6,16.6,20.6,12.4,79.4,5.8,0.0,6.2,1.1,7.5,20.6,757.0,62.9,23.6,12.4,1.1,4.7,1013,20,5,12,1.1846001974333662
22,brooks,48047950150.0,93.1,5.550000000000001,0.05,0.0,1.25,0.0,2612.0,24105.0,8137.0,14168.5,3141.5,36.45,56.15,22.35,27.650000000000002,25.85,11.649999999999999,12.55,81.8,12.25,0.05,3.0,0.05,2.8499999999999996,23.2,1208.0,73.4,20.65,5.95,0.0,13.9,5524,21,914,12,41.69587255611876
23,brown,48049950725.0,21.983333333333334,71.65833333333335,4.533333333333332,0.23333333333333336,0.5249999999999999,0.024999999999999998,2336.75,41149.75,6343.916666666667,21287.75,3776.3333333333335,20.258333333333336,31.816666666666663,30.674999999999997,20.566666666666666,22.516666666666666,10.591666666666667,15.691666666666668,86.35833333333333,9.766666666666667,0.35833333333333334,1.075,0.7583333333333333,1.6833333333333333,17.21666666666667,1250.5,75.97500000000001,15.341666666666667,8.583333333333334,0.09999999999999999,4.841666666666667,23357,56,15,12,0.4315622725521257
24,burleson,48051970300.0,17.939999999999998,67.66,11.819999999999999,0.16,1.1199999999999999,0.0,2503.6,53329.6,9218.6,25722.0,4060.8,15.280000000000001,25.32,28.6,15.940000000000001,22.18,16.060000000000002,17.259999999999998,82.58000000000001,12.979999999999999,0.1,0.6799999999999999,0.6399999999999999,3.04,28.140000000000004,1470.4,69.02,21.419999999999998,8.88,0.7,7.9,11427,42,13,12,0.5733788395904437
25,burnet,48053960450.0,20.1,76.04999999999998,2.325,0.6875,0.30000000000000004,0.0,4087.0,51700.125,8276.5,27436.625,4650.75,14.9125,23.675,30.0625,19.75,22.950000000000003,15.2,12.012500000000001,78.32499999999999,11.475000000000001,0.1375,1.9875000000000003,1.2375,6.862500000000001,26.162499999999998,2334.125,73.3,14.6625,11.9375,0.0875,4.987500000000001,30985,96,20,12,0.7435856059383573
26,caldwell,48055960362.875,45.099999999999994,46.9125,6.4125000000000005,0.1375,0.30000000000000004,0.075,3462.375,48765.0,7227.625,21916.625,3749.75,16.7875,21.825000000000003,25.525,22.35,22.675,13.825,15.6125,79.7125,13.4375,0.125,1.9874999999999998,1.925,2.8375,31.624999999999996,2086.625,74.125,18.687500000000004,7.075,0.125,5.612500000000001,23848,53,3626,12,96.70144246897014
27,calhoun,48057165250.0,43.48,48.459999999999994,3.02,0.06000000000000001,2.78,0.08,2473.5,51707.6,10840.8,25261.6,3919.4,17.84,26.5,27.720000000000006,12.48,22.240000000000002,16.240000000000002,21.3,80.2,13.780000000000001,0.72,1.1600000000000001,1.64,2.46,23.18,1569.3333333333333,80.92,12.14,6.88,0.08,6.359999999999999,12491,52,16,12,0.7992954927547834
28,callahan,48059030134.333336,9.1,87.2,1.7333333333333332,0.06666666666666667,0.39999999999999997,0.0,3398.0,41348.0,7673.0,22425.333333333332,3061.0,18.933333333333334,20.599999999999998,25.866666666666664,16.53333333333333,24.933333333333334,14.733333333333334,17.933333333333334,84.43333333333334,10.2,0.3,2.3333333333333335,0.26666666666666666,2.433333333333333,22.2,1697.3333333333333,71.16666666666667,16.900000000000002,9.466666666666667,2.433333333333333,5.3999999999999995,8658,9,4,12,0.0498960498960499
29,cameron,48061045910.60919,88.70357142857144,10.090476190476195,0.3511904761904764,0.04642857142857143,0.5619047619047617,0.002380952380952381,2529.022988505747,32757.89285714286,7059.488095238095,14634.595238095239,2534.5476190476193,36.22857142857143,50.38571428571427,25.56428571428572,25.75357142857143,25.689285714285717,11.278571428571428,11.720238095238098,82.54523809523808,10.444047619047618,0.9595238095238098,1.846428571428571,1.897619047619047,2.301190476190476,19.58452380952381,1701.2758620689656,73.80238095238096,16.994047619047617,9.038095238095238,0.16785714285714284,10.46547619047619,206391,409,76,12,1.807288108493103
30,camp,48063950134.333336,21.666666666666668,58.93333333333334,16.666666666666668,0.10000000000000002,0.3,0.0,2808.6666666666665,36540.333333333336,6199.666666666667,20123.0,3421.6666666666665,18.933333333333334,27.3,22.03333333333333,19.099999999999998,22.2,13.866666666666667,22.8,82.60000000000001,12.866666666666665,0.9666666666666667,0.20000000000000004,0.26666666666666666,3.0999999999999996,23.03333333333333,1679.6666666666667,74.13333333333333,15.466666666666669,10.033333333333333,0.4333333333333333,8.766666666666667,7640,16,4,12,0.10052356020942409
31,carson,48065950150.0,9.3,87.3,0.85,0.7,0.3,0.25,2235.0,67111.5,10927.5,28469.5,2995.5,6.75,8.7,35.75,9.9,23.45,17.9,13.0,90.45,5.300000000000001,0.25,0.7,0.0,3.3,20.15,1451.0,71.15,18.799999999999997,10.1,0.0,1.35,4264,24,7,12,0.4727954971857411
32,cass,48067950400.0,3.6142857142857143,77.28571428571429,17.114285714285717,0.24285714285714288,0.4142857142857142,0.11428571428571428,3321.285714285714,38911.0,6363.142857142857,21044.14285714286,2975.1428571428573,20.042857142857144,30.22857142857143,20.842857142857138,18.814285714285713,24.228571428571428,15.228571428571428,20.914285714285715,88.07142857142857,6.1,0.4142857142857143,1.3571428571428572,1.9714285714285715,2.085714285714286,25.21428571428572,1709.142857142857,76.85714285714286,15.200000000000001,7.942857142857142,0.0,9.4,20119,90,18,12,0.9662508076942194
33,chambers,48071750300.14286,19.2,66.28,10.72,0.36,1.44,0.02,3435.0,60482.4,10326.0,28092.4,4416.8,14.040000000000001,12.86,30.139999999999997,12.52,17.04,18.16,22.14,86.4,8.8,0.0,1.24,1.86,1.72,30.28,2166.5714285714284,76.66,17.119999999999997,6.08,0.12,9.120000000000001,26882,62,15,12,0.4151476824641024
34,cherokee,48073950616.916664,21.791666666666668,58.80833333333334,17.391666666666666,0.075,0.46666666666666673,0.0,2908.5833333333335,36942.166666666664,7233.5,18601.75,2813.4166666666665,23.55,34.15,25.38333333333333,24.808333333333337,19.333333333333332,15.341666666666667,15.091666666666667,81.20833333333333,14.516666666666666,0.008333333333333333,1.8333333333333337,1.1083333333333334,1.3499999999999999,24.558333333333337,1644.0833333333333,71.85833333333333,21.941666666666666,5.983333333333334,0.19166666666666665,6.8999999999999995,27629,81,23,12,0.8091498063628796
35,childress,48075950150.0,23.35,59.05,13.1,0.7,1.4,1.45,2756.0,53912.0,15428.0,18614.0,3801.0,15.25,25.7,40.95,19.15,18.15,7.1,14.649999999999999,91.85,5.7,0.0,1.95,0.0,0.55,14.8,1300.0,57.25,31.35,10.8,0.55,5.1,3428,13,3,12,0.13652275379229872
36,clay,48077030267.666664,5.566666666666666,90.7,0.6,1.1666666666666667,0.39999999999999997,0.0,2677.6666666666665,48239.0,7411.666666666667,26142.0,3382.3333333333335,12.466666666666667,14.066666666666668,28.666666666666668,19.0,24.433333333333337,14.566666666666668,13.4,84.03333333333333,8.733333333333333,0.0,2.1333333333333333,1.1333333333333333,3.966666666666667,25.23333333333333,1535.0,72.39999999999999,17.433333333333334,10.0,0.16666666666666666,7.0,7656,48,16,12,1.2037617554858935
37,coke,48081950150.0,20.950000000000003,77.30000000000001,0.75,0.55,0.1,0.0,1283.0,42371.5,9291.5,29246.5,7345.0,11.600000000000001,11.1,46.25,13.75,15.149999999999999,12.6,12.2,84.19999999999999,5.050000000000001,0.0,4.050000000000001,1.2999999999999998,5.45,22.299999999999997,754.0,58.6,31.6,9.85,0.0,3.1500000000000004,2215,8,4,12,0.17336343115124153
38,coleman,48083950533.333336,16.4,78.56666666666666,1.9333333333333333,0.9666666666666667,1.5999999999999999,0.0,2193.6666666666665,38806.0,6977.0,22096.333333333332,3433.6666666666665,20.333333333333332,33.43333333333333,26.366666666666664,18.166666666666668,22.733333333333334,19.933333333333334,12.833333333333334,85.63333333333333,7.333333333333333,0.09999999999999999,1.8666666666666665,1.9666666666666668,3.0666666666666664,30.8,1078.3333333333333,70.2,16.233333333333334,13.133333333333333,0.3666666666666667,7.933333333333334,5663,12,4,12,0.10171287303549355
39,collin,48085031221.197365,14.838815789473687,60.51381578947369,8.676315789473685,0.33749999999999997,12.989473684210527,0.06315789473684211,3605.315789473684,90005.63157894737,12641.611842105263,39965.75657894737,5077.559210526316,7.6519736842105255,9.63684210526316,52.51315789473682,11.953289473684206,25.004605263157895,4.853289473684212,5.686184210526314,81.6118421052632,7.0940789473684225,1.040789473684211,0.8953947368421055,1.3407894736842108,8.026973684210526,27.709210526315797,2922.2960526315787,84.00921052631578,9.751315789473681,6.066447368421051,0.16644736842105265,4.8723684210526335,554057,251,68,12,0.36966593689818916
40,colorado,48089750300.0,28.2,58.7,12.7,0.16,0.16,0.0,3036.2,45961.4,8834.8,25274.8,4041.0,15.2,17.3,28.48,17.02,20.82,16.779999999999998,16.919999999999998,87.4,7.8199999999999985,1.3199999999999998,1.64,0.16,1.7,21.42,1833.8,72.97999999999999,17.04,9.080000000000002,0.9199999999999999,3.9799999999999995,13445,37,11,12,0.36325771662328005
41,comal,48091310586.083336,26.929166666666664,68.88333333333334,1.7333333333333334,0.15,0.7708333333333336,0.012500000000000002,3678.375,69096.29166666667,11966.875,32141.541666666668,4580.041666666667,9.42083333333333,13.129166666666668,36.916666666666664,16.945833333333333,25.608333333333334,11.645833333333334,8.870833333333332,80.51666666666667,9.329166666666666,0.10416666666666667,1.1,1.3749999999999998,7.583333333333333,30.650000000000002,2257.9166666666665,77.48333333333333,12.637500000000003,9.520833333333332,0.3541666666666667,4.954166666666667,100074,179,25,12,0.5366029138437556
42,comanche,48093950250.0,27.3,71.05,0.375,0.1,0.30000000000000004,0.0,2426.75,37564.0,4895.75,20124.0,2515.25,23.075,39.85,26.375,15.125,20.224999999999998,17.4,20.875,80.05,12.600000000000001,0.0,2.85,1.0,3.5,22.95,1334.5,72.875,14.424999999999999,12.149999999999999,0.5249999999999999,4.725,9185,45,12,12,0.7054980947196516
43,coryell,48099061522.947365,17.34736842105263,61.56315789473683,13.915789473684208,0.431578947368421,1.7105263157894737,0.6736842105263159,2862.8947368421054,49050.25,7629.4375,20520.36842105263,3021.7894736842104,17.12222222222222,27.15555555555555,25.889473684210525,24.973684210526315,25.778947368421054,10.163157894736841,13.200000000000001,76.75263157894737,11.84736842105263,0.5947368421052632,5.315789473684212,2.6263157894736846,2.894736842105263,21.0,1193.8947368421052,61.04736842105264,34.72105263157894,4.063157894736842,0.16842105263157894,9.105263157894736,38711,43,5262,12,70.14006354782879
44,cottle,48101950100.0,28.1,59.9,10.5,0.2,0.0,0.0,1074.0,34955.0,3894.0,18926.0,2304.0,22.7,39.1,31.4,22.6,22.9,19.2,3.9,66.6,17.7,0.0,9.6,4.0,2.2,15.1,615.0,56.4,28.9,14.0,0.7,7.5,1062,12,4,12,0.5423728813559322
45,crane,48103950100.0,60.0,35.7,3.5,0.7,0.0,0.0,2869.0,58333.0,6374.0,23808.0,2497.0,13.1,16.3,19.0,19.4,17.3,21.9,22.3,77.0,18.9,0.6,2.0,1.4,0.0,23.0,1980.0,82.2,13.9,3.9,0.0,5.2,2666,16,4,12,0.2880720180045011
46,crockett,48105950100.0,61.8,36.7,0.3,0.0,0.0,0.0,2609.0,53678.0,8534.0,26675.0,3494.0,17.5,30.4,21.6,17.5,20.7,24.4,15.9,76.1,18.7,0.0,3.5,0.0,1.6,21.1,1851.0,77.4,16.3,6.2,0.2,1.8,2501,12,4,12,0.2303078768492603
47,crosby,48107950200.0,53.93333333333334,40.96666666666667,3.5,0.0,0.0,0.4666666666666666,1386.0,37941.666666666664,6975.333333333333,19070.333333333332,2894.3333333333335,22.733333333333334,34.93333333333333,28.566666666666666,19.0,19.933333333333334,23.366666666666664,9.133333333333335,83.43333333333332,8.233333333333334,0.0,2.966666666666667,3.9,1.4333333333333333,22.233333333333334,826.0,72.56666666666666,17.3,9.633333333333333,0.4666666666666666,9.500000000000002,3540,12,709,12,28.840677966101694
48,culberson,48109950300.0,78.4,19.2,0.4,0.5,0.0,0.1,1591.0,35000.0,5602.0,17340.0,3140.0,29.7,41.7,20.1,32.2,24.2,15.7,7.8,73.1,18.7,0.2,2.9,3.0,2.2,11.0,1020.0,74.7,19.1,6.2,0.0,6.5,1714,18,5,12,0.6301050175029171
49,dallam,48111950200.0,34.1,61.7,0.75,1.2000000000000002,1.0,0.0,2092.0,47257.5,6025.5,23821.5,3271.0,14.8,21.5,24.5,21.45,16.75,20.0,17.3,80.0,11.5,1.0,1.75,2.95,2.8499999999999996,12.65,1690.5,74.95,13.25,11.549999999999999,0.25,3.9,3040,8,2,12,0.06315789473684211
50,dallas,48113016321.81853,37.65180265654644,33.94990512333965,20.908349146110062,0.17077798861480076,5.423908918406067,0.04497153700189752,2708.3213610586013,57175.50095238095,9558.495238095238,30441.41176470588,4558.779886148008,19.265654648956335,27.655028462998093,32.563757115749546,18.401518026565476,24.275142314990507,11.567552182163192,13.192789373814037,77.73055028463011,11.181973434535106,3.3519924098671723,1.5400379506641357,2.0521821631878545,4.144592030360533,26.297908745247135,2253.2287334593575,84.10796963946859,9.136812144212522,6.59544592030361,0.16129032258064513,7.710815939278936,1338338,3092,416,12,11.533158290357145
51,dawson,48115950475.75,52.075,40.95,5.25,0.24999999999999997,0.7500000000000001,0.025,2409.5,41306.5,8125.0,20268.25,3250.0,17.1,18.175,22.225,18.15,24.7,17.35,17.55,77.47500000000001,16.1,0.275,1.75,1.75,2.6500000000000004,15.849999999999998,1211.0,68.0,20.925,10.95,0.1,9.375,7065,28,9,12,0.4280254777070064
52,dewitt,48123970300.0,32.7,58.760000000000005,7.9799999999999995,0.08,0.08,0.0,3109.4,51639.8,11227.2,29856.6,6001.8,14.780000000000001,20.6,29.5,19.0,21.36,14.719999999999999,15.4,83.6,8.38,0.04,2.3200000000000003,1.3,4.32,23.04,1585.4,72.52,17.439999999999998,9.8,0.24,6.4,11765,27,10,12,0.2753931151721207
