id,q43_%dd,q43_%dr,q43_%dtotal,
22065,5,House,484,
22067,5,House,227,
22069,4,House,286,
22071,1,House,268,
22071,2,House,782,
22073,5,House,676,
22075,3,House,504,
22077,5,House,220,
22077,6,House,236,
22079,5,House,1102,
22081,4,House,158,
22083,5,House,104,
22085,4,House,283,
22087,3,House,244,
22089,1,House,74,
22089,3,House,248,
22091,6,House,286,
22093,3,House,365,
22095,3,House,290,
22097,7,House,5178,
22099,3,House,330,
22101,3,House,306,
22103,1,House,891,
22105,1,House,607,
22107,5,House,182,
22109,3,House,718,
22111,5,House,207,
22113,7,House,433,
22115,4,House,260,
22117,1,House,518,
22119,4,House,394,
22121,6,House,323,
22123,5,House,127,
22125,6,House,331,
22127,5,House,70,
25001,10,House,2616,
25003,1,House,2146,
19189,4,House,199,
19195,4,House,136,
19000,1,House,3098,
19000,2,House,2477,
19000,3,House,1589,
19000,4,House,5860,
19000,5,House,3523,
16001,1,House,1834,
16001,2,House,1416,
16005,2,House,422,
16011,2,House,301,
16013,2,House,251,
16017,1,House,548,
16019,2,House,661,
16027,1,House,1578,
16031,2,House,127,
16035,1,House,131,
16039,2,House,137,
16041,2,House,142,
16043,2,House,99,
16045,1,House,216,
16047,2,House,127,
16051,2,House,209,
16053,2,House,137,
16055,1,House,841,
16057,1,House,423,
16059,2,House,86,
16065,2,House,177,
16067,2,House,176,
16069,1,House,413,
16071,2,House,44,
16075,1,House,112,
16077,2,House,51,
16079,1,House,158,
16083,2,House,440,
16085,1,House,107,
17001,17,House,483,
17001,18,House,171,
17003,12,House,620,
17005,19,House,None,
17007,16,House,344,
17009,18,House,137,
17011,11,House,270,
17011,14,House,9,
17011,18,House,107,
17013,17,House,277,
17015,16,House,0,
17017,18,House,None,
17019,15,House,640,
17021,17,House,46,
17021,19,House,177,
17023,15,House,156,
17025,19,House,251,
17027,19,House,243,
17029,15,House,276,
1703012,13,House,0,
1703012,14,House,0,
17031,1,House,2952,
17031,2,House,2370,
17031,3,House,4387,
17031,4,House,698,
17031,4,House,1394,
17031,6,House,682,
17031,7,House,1475,
17031,8,House,764,
17031,9,House,4430,
17031,10,House,2115,
17031,13,House,964,
17033,15,House,182,
17035,15,House,164,
17041,15,House,70,
17043,6,House,1605,
17043,13,House,1928,
17043,14,House,197,
17045,15,House,175,
17049,19,House,461,
17053,15,House,2,
17057,17,House,459,
17059,15,House,45,
17059,19,House,207,
17063,11,House,221,
17065,19,House,300,
17067,17,House,290,
17071,17,House,68,
17073,14,House,235,
17073,17,House,147,
17077,12,House,3065,
17081,19,House,479,
17085,16,House,263,
17089,14,House,1964,
17091,11,House,688,
17093,14,House,309,
17095,17,House,49,
17095,18,House,48,
17097,8,House,1160,
17099,11,House,820,
17101,15,House,178,
17101,19,House,143,
17103,14,House,154,
17105,11,House,4,
17105,15,House,237,
17107,18,House,342,
17109,17,House,158,
17111,8,House,357,
17111,16,House,1043,
17113,11,House,328,
17113,15,House,197,
17117,17,House,935,
17119,12,House,3,
17119,17,House,0,
17119,19,House,18,
17121,19,House,202,
17123,18,House,162,
17125,18,House,58,
17129,18,House,149,
17131,17,House,92,
17135,17,House,449,
17135,19,House,169,
17137,18,House,220,
17139,15,House,111,
17141,16,House,349,
17143,18,House,569,
17145,12,House,1330,
17147,15,House,98,
17155,18,House,57,
17163,12,House,11169,
17167,17,House,268,
17167,18,House,764,
17171,18,House,67,
17173,17,House,40,
17173,19,House,210,
17179,18,House,562,
17181,12,House,0,
17183,15,House,None,
17185,15,House,182,
17185,19,House,41,
1718563,15,House,1,
17187,17,House,63,
17191,19,House,None,
17193,15,House,87,
17193,19,House,198,
17195,14,House,0,
17195,16,House,0,
17195,17,House,0,
17197,2,House,17,
17199,12,House,4775,
17199,19,House,49,
17201,16,House,None,
17203,11,House,0,
17203,18,House,0,
1759000,18,House,722,
1765000,16,House,785,
38001,1,House,16,
38003,1,House,45,
38005,1,House,23,
38007,1,House,11,
38009,1,House,54,
38011,1,House,15,
38013,1,House,3,
38015,1,House,363,
38017,1,House,365,
38019,1,House,39,
38021,1,House,20,
38023,1,House,11,
38025,1,House,23,
38027,1,House,18,
38029,1,House,27,
38031,1,House,20,
38033,1,House,25,
38035,1,House,142,
38037,1,House,7,
38039,1,House,12,
38041,1,House,19,
38043,1,House,22,
38045,1,House,29,
38047,1,House,0,
38049,1,House,23,
38051,1,House,21,
38053,1,House,39,
38055,1,House,34,
38057,1,House,52,
38059,1,House,120,
38061,1,House,21,
38063,1,House,13,
38065,1,House,12,
38067,1,House,56,
38069,1,House,46,
38071,1,House,66,
38073,1,House,19,
38075,1,House,11,
38077,1,House,78,
38079,1,House,99,
38081,1,House,11,
38083,1,House,18,
38085,1,House,20,
38087,1,House,7,
38089,1,House,139,
38091,1,House,8,
38093,1,House,89,
38095,1,House,13,
38097,1,House,22,
38099,1,House,50,
38101,1,House,137,
38103,1,House,10,
38105,1,House,85,
31001,3,House,233,
31003,3,House,198,
31005,3,House,10,
31007,3,House,5,
31009,3,House,5,
31011,3,House,159,
31013,3,House,89,
31015,3,House,93,
31017,3,House,64,
31019,3,House,283,
31021,1,House,70,
31023,1,House,137,
31025,1,House,256,
31027,1,House,57,
31027,3,House,418,
31029,3,House,60,
31031,3,House,147,
31033,3,House,75,
31035,3,House,90,
31037,1,House,137,
31039,1,House,95,
31041,3,House,125,
31043,1,House,169,
31045,3,House,64,
31047,3,House,205,
31049,3,House,26,
31051,1,House,98,
31053,1,House,272,
31055,2,House,1958,
31057,3,House,83,
31059,3,House,107,
31063,3,House,48,
31065,3,House,118,
31067,1,House,334,
31069,3,House,42,
31071,3,House,31,
31073,3,House,33,
31075,3,House,20,
31077,3,House,56,
31081,3,House,112,
31083,3,House,45,
31085,3,House,25,
31087,3,House,46,
31089,3,House,160,
31091,3,House,18,
31093,3,House,92,
31095,3,House,104,
31097,1,House,75,
31099,3,House,57,
31101,3,House,77,
31103,3,House,46,
31105,3,House,35,
31107,3,House,291,
31109,1,House,1413,
31111,3,House,348,
31113,3,House,17,
31115,3,House,11,
31117,3,House,18,
31119,1,House,242,
31121,3,House,7,
31123,3,House,23,
31125,3,House,158,
31127,1,House,84,
31129,3,House,100,
31131,1,House,117,
31133,1,House,59,
31135,3,House,40,
31137,3,House,101,
31139,3,House,205,
31141,3,House,398,
31143,3,House,94,
31145,3,House,128,
31147,1,House,131,
31149,3,House,30,
31151,3,House,95,
31153,1,House,254,
31153,2,House,352,
31155,1,House,231,
31157,3,House,141,
31159,1,House,160,
31161,3,House,33,
31163,3,House,64,
31165,3,House,19,
31167,1,House,65,
31169,3,House,20,
31171,2,House,11,
31173,1,House,79,
31175,3,House,66,
31177,1,House,212,
31179,1,House,81,
31181,3,House,82,
31183,3,House,20,
31185,3,House,179,
40001,2,House,173,
40003,3,House,47,
40005,2,House,106,
40007,3,House,56,
40009,3,House,107,
40011,3,House,66,
40013,2,House,419,
40015,3,House,244,
40017,3,House,576,
40017,4,House,221,
40019,4,House,419,
40021,2,House,256,
40023,2,House,181,
40025,3,House,55,
40027,4,House,2325,
40029,2,House,124,
40031,4,House,689,
40033,4,House,69,
40035,2,House,121,
40037,1,House,44,
40037,3,House,653,
40039,3,House,136,
40041,2,House,325,
40043,3,House,62,
40045,3,House,40,
40047,3,House,349,
40049,4,House,327,
40051,4,House,409,
40053,3,House,71,
40055,3,House,62,
40057,3,House,32,
40059,3,House,52,
40061,2,House,119,
40063,2,House,197,
40065,3,House,272,
40067,4,House,117,
40069,2,House,223,
40071,3,House,443,
40073,3,House,115,
40075,3,House,72,
40077,2,House,139,
40079,2,House,376,
40081,3,House,367,
40083,3,House,468,
40085,4,House,101,
40087,4,House,317,
40089,2,House,468,
40091,2,House,213,
40093,3,House,59,
27131,2,House,399,
27133,1,House,67,
12001,6,House,1321,
12003,4,House,177,
12007,6,House,161,
12009,15,House,3811,
12009,24,House,1303,
12011,17,House,6833,
12011,21,House,1350,
12011,22,House,2142,
12015,13,House,225,
12015,14,House,208,
12015,16,House,654,
12017,5,House,958,
12019,6,House,1774,
12021,14,House,1469,
12021,25,House,392,
12023,4,House,518,
12027,13,House,147,
12031,4,House,2756,
12031,6,House,998,
12033,1,House,1498,
12035,7,House,676,
12041,6,House,302,
12043,16,House,72,
12047,4,House,243,
12049,13,House,265,
12051,16,House,107,
12053,5,House,944,
12055,16,House,719,
12057,9,House,1920,
12057,11,House,5063,
12057,12,House,6824,
12059,1,House,231,
12061,15,House,1894,
12065,7,House,77,
12069,5,House,2501,
12069,6,House,1190,
12069,8,House,720,
12071,14,House,2854,
12073,4,House,340,
12075,5,House,206,
12075,6,House,55,
12079,4,House,270,
12081,11,House,145,
12081,13,House,2317,
12083,5,House,142,
12083,6,House,2007,
12083,8,House,461,
12085,16,House,659,
12086,17,House,13183,
12086,18,House,5156,
12086,21,House,7054,
12086,25,House,6782,
12087,18,House,574,
12087,25,House,0,
12089,0,Senate,293,
12089,4,House,395,
12091,1,House,1432,
12093,16,House,125,
12095,7,House,124,
12095,8,House,2415,
12095,24,House,1850,
12097,8,House,28,
12097,12,House,690,
12097,15,House,1460,
12099,16,House,692,
12099,22,House,2456,
12101,5,House,3927,
12101,9,House,2289,
12103,9,House,1740,
12103,10,House,7831,
12103,11,House,1071,
12105,5,House,362,
12105,12,House,5884,
12105,15,House,192,
12107,7,House,423,
12109,7,House,764,
12111,16,House,701,
12113,1,House,406,
12115,13,House,18412,
12117,7,House,1040,
12117,24,House,1118,
12119,5,House,729,
12125,4,House,75,
12127,7,House,2100,
12127,24,House,1374,
12131,1,House,312,
12133,1,House,508,
13281,0,,None,
15001,2,House,983,
15003,1,House,7282,
15003,2,House,1224,
15007,2,House,650,
19001,5,House,189,
19011,3,House,276,
19017,1,House,213,
19019,1,House,275,
19021,5,House,204,
19023,1,House,149,
19025,4,House,263,
19029,5,House,235,
19033,4,House,398,
19037,4,House,385,
19039,5,House,205,
19041,5,House,255,
24000,1,House,9035,
24000,2,House,6706,
24000,3,House,6610,
24000,4,House,6479,
24000,5,House,18915,
24000,6,House,7066,
24000,7,House,34884,
24000,8,House,3807,
23001,2,House,1737,
23003,2,House,1436,
23005,1,House,2594,
23007,2,House,876,
23009,2,House,1208,
23011,1,House,1456,
23011,2,House,629,
23013,1,House,984,
23015,1,House,636,
23017,2,House,1255,
23019,2,House,2411,
23021,2,House,335,
23023,1,House,534,
23025,2,House,1306,
23027,2,House,857,
23029,2,House,974,
23031,1,House,2911,
10001,1,House,1141,
10003,1,House,3746,
10005,1,House,1648,
44001,1,House,627,
44001,2,House,None,
44003,2,House,4692,
44005,1,House,876,
44007,1,House,3262,
44007,2,House,4788,
44009,2,House,4454,
27001,8,House,122,
27003,3,House,498,
27003,5,House,536,
27003,6,House,813,
27005,7,House,207,
27007,7,House,320,
27009,6,House,171,
27011,7,House,90,
27013,1,House,292,
27015,1,House,159,
27017,8,House,99,
27019,2,House,623,
27021,8,House,183,
27023,7,House,84,
27025,8,House,343,
27027,7,House,259,
27029,7,House,99,
27031,8,House,54,
27033,1,House,68,
27035,8,House,345,
27037,2,House,1887,
27037,4,House,914,
27039,1,House,66,
27041,7,Senate,358,
27043,1,House,73,
27045,1,House,122,
27047,1,House,145,
27049,2,House,289,
27051,7,House,58,
27053,3,House,4413,
27053,5,House,5055,
27053,6,House,4,
27055,1,House,206,
27057,8,House,220,
27059,8,House,184,
27061,8,House,211,
27063,1,House,37,
27065,8,House,71,
27067,7,House,352,
27069,7,House,29,
27071,8,House,70,
27073,7,House,67,
27075,8,House,53,
27077,7,House,33,
27079,1,House,2,
27079,2,House,142,
27081,7,House,54,
27083,7,House,192,
27085,7,House,472,
27087,7,House,38,
27089,7,House,62,
27091,1,House,121,
27093,7,House,283,
27095,8,House,165,
40105,2,House,239,
40107,2,House,115,
40109,4,House,424,
40109,5,House,3039,
48025,1626,Senate,None,
40111,2,House,306,
40113,3,House,639,
40115,2,House,341,
40117,3,House,166,
40119,3,House,603,
40121,2,House,1070,
40123,4,House,257,
40125,5,House,690,
40127,2,House,131,
40129,3,House,19,
40131,1,House,106,
40131,2,House,578,
40133,5,House,377,
40135,2,House,245,
40137,4,House,362,
40139,3,House,126,
40141,4,House,125,
40143,1,House,3162,
40145,1,House,618,
40147,1,House,308,
40149,3,House,91,
40151,3,House,63,
40153,3,House,68,
41001,2,House,223,
41003,4,House,439,
41003,5,House,398,
41005,3,House,2347,
41005,5,House,2548,
41007,1,House,407,
41009,1,House,601,
41011,4,House,425,
41013,2,House,285,
41015,4,House,157,
41017,2,House,1858,
41019,4,House,666,
41021,2,House,33,
41023,2,House,101,
41025,2,House,75,
41027,2,House,163,
41029,2,House,1870,
41031,2,House,224,
41033,2,House,693,
41033,4,House,339,
41035,2,House,490,
41037,2,House,85,
41039,4,House,2077,
41041,5,House,402,
41043,4,House,1090,
41045,2,House,270,
41047,5,House,3468,
41049,2,House,83,
41051,1,House,1264,
41051,3,House,7144,
41051,5,House,344,
41053,5,House,539,
41055,2,House,32,
41057,5,House,233,
41059,2,House,704,
41061,2,House,336,
41063,2,House,87,
41065,2,House,281,
41067,1,House,7434,
41069,2,House,25,
41071,1,House,1152,
19045,1,House,332,
19047,5,House,185,
19049,4,House,367,
19059,5,House,314,
19061,1,House,980,
19063,4,House,118,
19067,4,House,295,
19073,4,House,180,
19075,3,House,138,
19079,4,House,231,
19081,4,House,199,
19083,4,House,221,
19085,5,House,195,
19087,2,House,241,
19089,4,House,188,
19091,4,House,143,
19093,5,House,71,
19095,3,House,274,
19101,2,House,332,
19103,2,House,962,
19105,1,House,254,
19107,3,House,210,
19109,4,House,143,
19111,2,House,505,
19125,3,House,274,
19127,4,House,281,
19129,5,House,129,
19131,4,House,230,
19133,5,House,274,
19135,99,,None,
19139,2,House,327,
19141,5,House,None,
19147,5,House,292,
19151,4,House,123,
19155,5,House,840,
19157,3,House,165,
19163,1,House,895,
19165,5,House,261,
19171,3,House,153,
19177,2,House,110,
19181,4,House,877,
19187,4,House,511,
27135,7,House,96,
27137,8,House,790,
27139,2,House,693,
27141,6,House,255,
27143,7,House,283,
27145,6,House,408,
27145,7,House,135,
27147,1,House,160,
27149,7,House,122,
27151,7,House,81,
27153,7,House,263,
27155,7,House,37,
27157,1,House,97,
27159,8,House,156,
27161,1,House,72,
27163,2,House,276,
27163,4,House,693,
27163,6,House,591,
27165,1,House,59,
27167,7,House,28,
27169,1,House,241,
27171,6,House,470,
27173,7,House,87,
40095,4,House,138,
40097,2,House,327,
40099,4,House,235,
40101,2,House,447,
40103,3,House,110,